"Edit","Expert ID","Department","Title","Year","Pub.Date","Author(s)","Journal","Volume","Pages","Issue","DOI","EID","Publication Type","Scopus Indexed","WOS Indexed","UGC CARE - B","Crossref Citation","Scopus Citation","Access"
"7455","165562","Faculty of Pharmaceutical Sciences","Characterization of the redox components of transplasma membrane electron transport system from Leishmania donovani promastigotes","2005","2005-10-10","Bera T.;Lakshman K.;Ghanteswari D.;Pal S.;Sudhahar D.;Islam M.N.;Bhuyan N.R.;Das P.","Biochimica et Biophysica Acta - General Subjects","1725","314-326","3","10.1016/j.bbagen.2005.05.024","2-s2.0-25844469317","Article","Y","N","N","9","12","4"
"15084","94431","Department of Electronics and Communication Engineering","Design of a biometric security system using support vector machine classifier","2014","2014-01-01","Manikandan J.;Agrawal V.K.;Venkataramani B.","Advances in Intelligent Systems and Computing","243","173-181","","10.1007/978-81-322-1665-0_16","2-s2.0-84927588801","Conference Paper","Y","N","N","1","1","4"
"15089","94431","Department of Electronics and Communication Engineering","PSoC based isolated speech recognition system","2013","2013-09-09","Naresh V.;Venkataramani B.;Karan A.;Manikandan J.","International Conference on Communication and Signal Processing, ICCSP 2013 - Proceedings","","693-697","","10.1109/iccsp.2013.6577144","2-s2.0-84883444563","Conference Paper","Y","N","N","1","2","4"
"15090","94431","Department of Electronics and Communication Engineering","System-on-programmable-chip implementation of diminishing learning based pattern recognition system","2013","2013-08-01","Manikandan J.;Venkataramani B.","International Journal of Machine Learning and Cybernetics","4","347-363","4","10.1007/s13042-012-0102-z","2-s2.0-84880447134","Article","Y","N","N","9","9","4"
"15094","94431","Department of Electronics and Communication Engineering","Hardware implementation of voice operated robot using Support Vector Machine classifier","2012","2012-12-01","Manikandan J.;Venkataramani B.","4th International Conference on Advanced Computing, ICoAC 2012","","","","10.1109/ICoAC.2012.6416833","2-s2.0-84874122029","Conference Paper","Y","N","N","5","5","4"
"50848","54574","Department of Science and Humanities","Effect of 4-(N,N-diethylamino)benzaldehyde thiosemicarbazone on the corrosion of aged 18 Ni 250 grade maraging steel in phosphoric acid solution","2011","2011-11-01","Poornima T.;Nayak J.;Nityananda Shetty A.","Corrosion Science","53","3688-3696","11","10.1016/j.corsci.2011.07.014","2-s2.0-80052310067","Article","Y","Y","N","74","84","4"
"50850","54574","Department of Science and Humanities","3,4-Dimethoxybenzaldehydethiosemicarbazone as corrosion inhibitor for aged 18 Ni 250 grade maraging steel in 0.5 M sulfuric acid","2011","2011-02-01","Poornima T.;Nayak J.;Nityananda Shetty A.","Journal of Applied Electrochemistry","41","223-233","2","10.1007/s10800-010-0227-2","2-s2.0-79451472165","Article","Y","Y","N","44","53","4"
"50852","54542","Department of Science and Humanities","Studies on corrosion of annealed and aged 18 Ni 250 grade maraging steel in sulphuric acid medium","2010","2010-08-06","Poornima T.;Jagannatha N.;Nityananda Shetty A.","Portugaliae Electrochimica Acta","28","173-188","3","10.4152/pea.201003173","2-s2.0-77955126251","Article","Y","N","N","36","40","3"
"51812","54574","Department of Science and Humanities","Corrosion of aged and annealed 18 Ni 250 grade maraging steel in phosphoric acid medium","2010","2010-01-01","Poornima T.;Nayak J.;Shetty A.N.","International Journal of Electrochemical Science","5","56-71","1","","2-s2.0-77953628898","Article","Y","Y","N","0","24","0"
"109813","165562","Faculty of Pharmaceutical Sciences","Complex-I inhibitor of NADH-ubiquinone oxidoreductases (NDH-1): Rotenone effects on transplasma membrane electron transport system in Leishmania donovani promastigotes","2011","2011-04-01","Dharmalingam S.;Bera T.;Lakshman K.;Ellaiah P.;Nayak B.S.;Samal M.;Kalusalingam A.","Research Journal of Pharmaceutical, Biological and Chemical Sciences","2","838-847","2","","2-s2.0-79955544050","Article","Y","N","N","","",""
"109820","165562","Faculty of Pharmaceutical Sciences","Membrane bound pyrophosphatase and P-Type adenosine triphosphatase of Leishmania donovani as possible chemotherapeutic targets: Similarities and differences in inhibitor sensitivities","2009","2009-01-01","Sen S.S.;Bhuyan N.R.;Lakshman K.;Roy A.K.;Chakraborty B.;Bera T.","Biochemistry (Moscow)","74","1382-1387","12","10.1134/S000629790912013X","2-s2.0-74849094502","Article","Y","N","N","5","5","4"
"146125","94422","Department of Electronics and Communication Engineering","Robust control of robot manipulators based on uncertainty and disturbance estimation","2013","2013-01-10","Kolhe J.;Shaheed M.;Chandar T.;Talole S.","International Journal of Robust and Nonlinear Control","23","104-122","1","10.1002/rnc.1823","2-s2.0-84871721846","Article","Y","N","N","98","111","3"
"146134","94422","Department of Electronics and Communication Engineering","Improving the performance of UDE-based controller using a new filter design","2014","2014-01-01","Chandar T.;Talole S.","Nonlinear Dynamics","77","753-768","3","10.1007/s11071-014-1337-x","2-s2.0-84905087742","Article","Y","Y","N","35","39","4"
"177920","382264","Department of Mechanical Engineering","Algorithmic Strategies for Solving Complex Problems in Cryptography","2017","2017-08-16","Balasubramanian K.;Rajakani M.","Algorithmic Strategies for Solving Complex Problems in Cryptography","","1-302","","10.4018/978-1-5225-2915-6","2-s2.0-85046281516","Book","Y","N","N","1","1","4"
"218467","23236","Faculty of Pharmaceutical Sciences","Asymmetric molecules in the polymorph of 2-amino-4,5,6,7-tetrahydrobenzo-[b]thiophene-3-carbonitrile","2014","2014-01-01","Sharma R.;Anthal S.;Prakash V.;Saravanan J.;Gupta V.K.;Kant R.","X-ray Structure Analysis Online","30","5-6","2","10.2116/xraystruct.30.5","2-s2.0-84894619571","Article","Y","N","N","1","1","3"
