Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Funding Details,Funding Text 1,Funding Text 2,Funding Text 3,Funding Text 4,Funding Text 5,Funding Text 6,Funding Text 7,Funding Text 8,Funding Text 9,Funding Text 10,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID,,,,,,,
"Varadam D., Shankar S.P., Shankar A., Narayan A., Nidhi N.P., Kumar T.N.",57477185500;57216108507;58193377400;58193934800;57694202600;58858656200;,Application of AI and blockchain technologies in the medical domain,2023,AI and Blockchain Applications in Industrial Robotics,,,,200,225,,,10.4018/979-8-3693-0659-8.ch008,https://www-scopus-com-bldedu.knimbus.com/inward/record.uri?eid=2-s2.0-85183826503&doi=10.4018%2f979-8-3693-0659-8.ch008&partnerID=40&md5=2ceb0b3f52602fb1fad0f66ad9db9d62,"Ramaiah University of Applied Sciences, India; PES University, India","Varadam, D., Ramaiah University of Applied Sciences, India; Shankar, S.P., Ramaiah University of Applied Sciences, India; Shankar, A., Ramaiah University of Applied Sciences, India; Narayan, A., Ramaiah University of Applied Sciences, India; Nidhi, N.P., Ramaiah University of Applied Sciences, India; Kumar, T.N., PES University, India","The rapid advancements in artificial intelligence (AI) and blockchain technologies have brought about significant transformations in various sectors, including healthcare. This proposal outlines a research paper that aims to investigate the different approaches and applications of AI and blockchain technologies in the medical domain. By exploring the integration of these technologies, the authors seek to analyze their potential benefits, challenges, and ethical implications in revolutionizing healthcare practices. The study will involve a comprehensive review of relevant literature, case studies, and interviews with experts in the field. The findings will contribute to a deeper understanding of the synergistic effects of AI and blockchain in healthcare, paving the way for enhanced decision-making, data security, interoperability, and patient-centric care. © 2024, IGI Global. All rights reserved.",,,,,,,,,,,,,,"Varadam, D.; Ramaiah University of Applied SciencesIndia",,IGI Global,,9798369306611; 9798369306598,,,English,AI and Blockchain Appl. in Industrial Robot.,Book Chapter,Final,,Scopus,2-s2.0-85183826503,,,,,,,
"Viswanth V.S., Pritima D., Girisha L., Rampur V.V., Rajashekhara M.C., Subbiah R.",57205676207;57203911439;57218632869;57208643233;58817997700;56964850200;,Friction Stir welding Experimentation and Surface Morphology on Niobium Aluminium 7068 Joint,2023,International Journal of Vehicle Structures and Systems,15,4,,480,483,,,10.4273/ijvss.15.4.05,https://www-scopus-com-bldedu.knimbus.com/inward/record.uri?eid=2-s2.0-85182602682&doi=10.4273%2fijvss.15.4.05&partnerID=40&md5=6aa4027af11ae5a7776472a9e7469f1f,"Dept. of Mech. Engg, Aditya Engg. College, Andhra Pradesh, Surampalem, India; Dept. of Mechatronics Engg, Sri Krishna College of Engg. and Tech, Tamil Nadu, Coimbatore, India; Dept. of Mech. Engg, PES Institute of Tech. and Management, Karnataka, Shivamogga, India; Dept. of Mech. Engg, Gokaraju Rangaraju Institute of Engg. and Tech, Telangana, Hyderabad, India","Viswanth, V.S., Dept. of Mech. Engg, Aditya Engg. College, Andhra Pradesh, Surampalem, India; Pritima, D., Dept. of Mechatronics Engg, Sri Krishna College of Engg. and Tech, Tamil Nadu, Coimbatore, India; Girisha, L., Dept. of Mech. Engg, PES Institute of Tech. and Management, Karnataka, Shivamogga, India; Rampur, V.V., Dept. of Mech. Engg, PES Institute of Tech. and Management, Karnataka, Shivamogga, India; Rajashekhara, M.C., Dept. of Mech. Engg, PES Institute of Tech. and Management, Karnataka, Shivamogga, India; Subbiah, R., Dept. of Mech. Engg, Gokaraju Rangaraju Institute of Engg. and Tech, Telangana, Hyderabad, India","An experimental investigation has been conducted on friction stir welding of niobium and aluminium 7068 alloys. The objective of the work is to increase ultimate tensile strength. The different input constrains such as pin rotation speed (PRS), welding speed and feed are used to evaluate the tensile strength of the welded joins. Optimal tensile strength is attained by Taguchi approach. It is achieved at PRS of 1200 rpm, speed of 45mm/min and feed of 20mm/min. After welding process, the heat affected zone (HAZ) and welding defects is analysed through scanning electron microscope. The surface morphology of the welded joint is studied through atomic force microscopy. The average surface roughness of 19.25 nm is attained at 800 rpm of PRS, welding speed of 15mm/min and feed of 15mm/min. © 2023. Carbon Magics Ltd.",Aluminium; Friction stir welding; Heat affected zone; Niobium; Ultimate tensile strength; Welded joints,Aluminum alloys; Friction; Friction stir welding; Heat affected zone; Morphology; Niobium alloys; Research laboratories; Surface morphology; Surface roughness; Tensile strength; Experimental investigations; Friction-stir-welding; Heat-affected zones; Input constrains; Rotation speed; Taguchi approach; Ultimate tensile strength; Welding defects; Welding process; Welding speed; Scanning electron microscopy,,,,,,,,,,,,"Rampur, V.V.; Dept. of Mech. Engg, Karnataka, India; email: ram4msrm@gmail.com",,MechAero Found. for Techn. Res. and Educ. Excellence,9753060,,,,English,Int. J. Veh. Struct. Syst.,Article,Final,,Scopus,2-s2.0-85182602682,,,,,,,
"Shastry P., Prakash C.O.",58779703800;57215509104;,"Comparative Analysis of LDA, LSA and NMF Topic Modelling for Web Data",2023,AIP Conference Proceedings,2901,1,60006,,,,,10.1063/5.0178761,https://www-scopus-com-bldedu.knimbus.com/inward/record.uri?eid=2-s2.0-85180607609&doi=10.1063%2f5.0178761&partnerID=40&md5=ea03a84b3be080a1b6322a2705106230,"Department of Computer Science and Engineering, PES University, Bangalore, India","Shastry, P., Department of Computer Science and Engineering, PES University, Bangalore, India; Prakash, C.O., Department of Computer Science and Engineering, PES University, Bangalore, India","Whenever the user enters any website, the URL, timestamp, client IP-address and other information are stored in the web log file. This information can be further analysed, and useful information can be extracted. Processing the entire web log document files is a difficult process which hinders the performance. For example, if there are 2000 documents and each of these documents have 500 words in them then to process the entire set of documents requires 500*2000 = 1000000 threads. So, to avoid this if we divide the document into documents having topics for example, number of topics=3, then processing it requires just 3*500 words = 1500 threads. Hence, this work proposes a comparative analysis which employs Topic Modelling Methods like LDA, LSA, NMF to extract the hidden features from the web log data. © 2023 American Institute of Physics Inc.. All rights reserved.",LDA (latent Dirichlet allocation); LSA (Latent Semantic Analysis); Machine Learning; NMF (Non-Negative Matrix Factorization),,,,,,,,,,,,,"Shastry, P.; Department of Computer Science and Engineering, India; email: poojashastry2014@gmail.com",Shankar H.Thangaraj P.Mohana Sundaram K.,American Institute of Physics Inc.,0094243X,9.78074E+12,,,English,AIP Conf. Proc.,Conference Paper,Final,,Scopus,2-s2.0-85180607609,,,,,,,
"Harshith H.M., Dhannur B., Churchihal M.M.",58779546000;57205491605;58779546100;,Study on Effect of Blast Loading on Asymmetrical Steel Building through Progressive Collapse Analysis,2023,AIP Conference Proceedings,2901,1,50002,,,,,10.1063/5.0178625,https://www-scopus-com-bldedu.knimbus.com/inward/record.uri?eid=2-s2.0-85180596546&doi=10.1063%2f5.0178625&partnerID=40&md5=ccfc9b35b64baefa79c75ae9edff291d,"Department of Civil Engineering, PES University, Bangalore, 560085, India","Harshith, H.M., Department of Civil Engineering, PES University, Bangalore, 560085, India; Dhannur, B., Department of Civil Engineering, PES University, Bangalore, 560085, India; Churchihal, M.M., Department of Civil Engineering, PES University, Bangalore, 560085, India","Usually, the structures are subjected to gravity loads and lateral loads and design is done as per Indian standard code of practice but there are some uncertainties in considering some other loads like accidental loads. The accidental loads may be due to impact of vehicles, collision of vehicles, falling of objects on the structures floor, fire load and blast load etc.. Out of all accidental loads, recently bomb explosion on or above or near the structure made the researchers to do rigorous research on structures located in areas where terrorist activities are increasing day by day like the border between the countries, military area and lifeline structure. For the present study, A G+4 storey steel special moments resisting frame located in Zone II (important military building) is considered for the study. The structure is modeled using beam element and shell element in ETABS software and analyzed with considering gravity, lateral and blast load. The analyzed structure is designed for critical load combination to check the safety of the structural members as per limit state method. The ‘Y’ face of the building is found as weak face of the structure and which is decided from formed plastic hinges at the beam column junction due to non linear static analysis on each faces of the structure, iterations in ‘X’ and ‘Y’ direction due to PUSHX and PUSHY, lateral stiffness and second area moment of inertia and then the blast load is calculated for explosive charge weight of 25kg, 50 kg, 100kg at standoff distances 10m, 20m and 30 m as per IS: 4991-1968 and applied at each and every joint of weak face of the structure using triangular time history function. The progressive collapse or partially collapse or sudden collapse of structure is decided from the storey displacement results of maximum and minimum response cases and DCR values obtained for critical corner column. It is observed that for 100kg explosive charge weight and 10 m standoff distance there is a sudden or partial collapse of structures and the structure is susceptible to progressive collapse for case 2,3,6 and 7. © 2023 American Institute of Physics Inc.. All rights reserved.",Accidental load; ETABS software; GSA; Progressive collapse; PUSHX; PUSHY; Time history triangular function DCR,,,,,,,,,,,,,"Harshith, H.M.; Department of Civil Engineering, India; email: harshith.hm8@gmail.com",Shankar H.Thangaraj P.Mohana Sundaram K.,American Institute of Physics Inc.,0094243X,9.78074E+12,,,English,AIP Conf. Proc.,Conference Paper,Final,,Scopus,2-s2.0-85180596546,,,,,,,
"Mahesh H.B., Ali Ahammed G.F., Usha S.M.",57214440919;57195219990;57208521359;,AI/ML for Next Generation Wireless Networks,2023,AIP Conference Proceedings,2901,1,60029,,,,,10.1063/5.0178712,https://www-scopus-com-bldedu.knimbus.com/inward/record.uri?eid=2-s2.0-85180575526&doi=10.1063%2f5.0178712&partnerID=40&md5=5c81e8d931e30d0f643e1c2631aa6572,"Department of Computer Science & Engineering, PES University, Bangalore, Visvesvaraya Technological University, Belagavi, India; Dept. of Computer Science & Engineering, PG Center, Visvesvaraya Technological University, Mysore, India; Dept.of Electronics & Communication Engineering, JSS Academy of Technical Education, Bengaluru, India","Mahesh, H.B., Department of Computer Science & Engineering, PES University, Bangalore, Visvesvaraya Technological University, Belagavi, India; Ali Ahammed, G.F., Dept. of Computer Science & Engineering, PG Center, Visvesvaraya Technological University, Mysore, India; Usha, S.M., Dept.of Electronics & Communication Engineering, JSS Academy of Technical Education, Bengaluru, India","The next generation wireless networks 5G and beyond 5G are heterogeneous networks. They are effectively formed and highly active and complex design networks to transportabundant data at an effective way with concentrated speed and offering extremely low dormancy. 5G networks have the capability of supporting more number of subscribers with high reliability. These wireless networks have significant issues related to design, deployment, data storage, operation, administration and management. These networks demands automotive design with less human intervention. These are highly intelligent networks interms of reasoning, decision making. The resource allocation, usage and network deployment are mainly impact the performance of the next generation wireless networks. Wireless networks 5G or 6G may be standalone structure or they built upon the existing infrasture. The next generation wireless applications includes Smart Home, shrewd cities, transport and logistics,autonomous driving, drone operation, security and surveillance, satellite internet, smart farming, fleet management, healthcare, and mission-critical applications. The above mentioned applications highly demands less power requirement, high response time, less cost, minimizing interference and redundancy to maximize coverage and capacity. To meet the above mentioned issues artificial intelligence and machine learning techniques are employed. The integration of AI/ML technology with wireless celluar network is described in this article. Mainly, this work examine/review the machine learning (ML) approaches that can be used with 6G wireless networks. This article explains the incorporation of different Machine learning algorithms, network optimization using AI principles, AI opportunities for wireless networks, Q-Learning algorithm and its working in improving the performance, use of block-chain technology with wireless network and cognitive radio for dynamic spectral allocationetc.,Federated Learning for data sharing in mobile devices, Kernel Hilbert space for Data rate improvement in 6G. At the end of this article, the CIR prediction with analytical recursive least-squares (RLS) algorithm, machine learning (Linear regression)is depicted and compared. The delay versus number of MCD’s is analyzed with Q-Learning, deep Q-learning and round robin algorithms. © 2023 American Institute of Physics Inc.. All rights reserved.",,,,,,,,,,,,,,"Usha, S.M.; Dept.of Electronics & Communication Engineering, India; email: ushasm@jssateb.ac.in",Shankar H.Thangaraj P.Mohana Sundaram K.,American Institute of Physics Inc.,0094243X,9.78074E+12,,,English,AIP Conf. Proc.,Conference Paper,Final,"All Open Access, Bronze",Scopus,2-s2.0-85180575526,,,,,,,
"Sanjana G., Prakash C.O.",58778547400;57215509104;,Comparative Study of Different Machine Learning Models for Detecting Spam Tweet,2023,AIP Conference Proceedings,2901,1,60004,,,,,10.1063/5.0178994,https://www-scopus-com-bldedu.knimbus.com/inward/record.uri?eid=2-s2.0-85180569135&doi=10.1063%2f5.0178994&partnerID=40&md5=af3adef6c77703fd131cf60e127cd91a,"Department of Computer Science and Engineering, PES University, Bangalore, India","Sanjana, G., Department of Computer Science and Engineering, PES University, Bangalore, India; Prakash, C.O., Department of Computer Science and Engineering, PES University, Bangalore, India","In recent times, the increase in use of electronic gadgets and evolving technologies have paved way to gather and share information across the globe through a well-built framework, social networking platforms. Twitter has grown to become one of the key platforms for communication and news circulation. Millions of users today rely on the content available on social media to make decisions, hence detecting and deleting spam details is critical. This paper focuses on conducting a systematic study on different approaches of detecting spam tweets by making use of the tweet content. This work brings a comparative study between ways of detecting spam tweets by making use of different features of tweet like URLs and mentions and analyzing the tweet subject on a publicly available dataset,” social honeypot dataset”. To detect a spam tweet using different features present in spam, Machine Learning algorithms like – SVM, Naïve Bayes, Random Forest algorithms are used. To detect a spam tweet by analyzing the content of tweet Machine learning algorithms- SVM, Naïve Bayes, Random Forest, Light GBM, BERT model is used. By this study we could conclude that content analysis using NLP techniques gave better accuracy on the dataset. © 2023 American Institute of Physics Inc.. All rights reserved.",BERT; Light GBM; Machine Learning; Naive Bayes; Random Forest; Spam tweet; Support Vector Machine,,,,,,,,,,,,,"Sanjana, G.; Department of Computer Science and Engineering, India; email: sanjanagowda2430@gmail.com",Shankar H.Thangaraj P.Mohana Sundaram K.,American Institute of Physics Inc.,0094243X,9.78074E+12,,,English,AIP Conf. Proc.,Conference Paper,Final,,Scopus,2-s2.0-85180569135,,,,,,,
"Ganesha T., Prakash S.B., Sheela Rani S., Ajith B.S., Manjunath Patel G.C., Samuel O.D.",57221726118;57197484858;58640852500;57220230730;57226312880;26654977000;,Biodiesel yield optimization from ternary (animal fat-cotton seed and rice bran) oils using response surface methodology and grey wolf optimizer,2023,Industrial Crops and Products,206,,117569,,,,1,10.1016/j.indcrop.2023.117569,https://www-scopus-com-bldedu.knimbus.com/inward/record.uri?eid=2-s2.0-85173881776&doi=10.1016%2fj.indcrop.2023.117569&partnerID=40&md5=75cd82af2c5366e1b7a39ebc8ab74d98,"Department of Mechanical Engineering, Visvesvaraya Technological University, Centre for Post Graduate Studies, Karnataka, Mysuru, 570029, India; Department of Mechanical Engineering, Visvesvaraya Technological University, Centre for Post Graduate Studies, Karnataka, Mysuru, 570029, India; Department of Soil Science and Agricultural Chemistry, University of Horticultural Sciences Bagalkot, College of Horticulture, Karnataka, Mysuru, 571130, India; Department of Mechanical Engineering, Sahyadri College of Engineering and Management, Visvesvaraya Technological University, Karnataka, Mangaluru, 575 007, India; Department of Mechanical Engineering, PES Institute of Technology and Management, Visvesvaraya Technological University, Karnataka, Shivamogga, 577204, India; Department of Mechanical Engineering, Federal University of Petroleum Resources, Delta State, Effurun, P.M.B 1221, Nigeria; Department of Mechanical Engineering, University of South Africa, Science Campus, Florida, Private Bag X6, 1709, South Africa","Ganesha, T., Department of Mechanical Engineering, Visvesvaraya Technological University, Centre for Post Graduate Studies, Karnataka, Mysuru, 570029, India; Prakash, S.B., Department of Mechanical Engineering, Visvesvaraya Technological University, Centre for Post Graduate Studies, Karnataka, Mysuru, 570029, India; Sheela Rani, S., Department of Soil Science and Agricultural Chemistry, University of Horticultural Sciences Bagalkot, College of Horticulture, Karnataka, Mysuru, 571130, India; Ajith, B.S., Department of Mechanical Engineering, Sahyadri College of Engineering and Management, Visvesvaraya Technological University, Karnataka, Mangaluru, 575 007, India; Manjunath Patel, G.C., Department of Mechanical Engineering, PES Institute of Technology and Management, Visvesvaraya Technological University, Karnataka, Shivamogga, 577204, India; Samuel, O.D., Department of Mechanical Engineering, Federal University of Petroleum Resources, Delta State, Effurun, P.M.B 1221, Nigeria, Department of Mechanical Engineering, University of South Africa, Science Campus, Florida, Private Bag X6, 1709, South Africa","The attributes of constant convergence speed, capacity for reconnoitering the search space and absence of technical drawbacks viz. trapped in local minima and unswerving solutions have led to wider adoption of Metaheuristic Algorithms (MAs) compared to conventional modelling tool. Grey Wolf Optimizer (GWO) surpassed others such as Whale Optimizer and Anti-lion Algorithms among the MAs. For the first time, GWO was utilized to build novel composite biodiesel from ternary oils (TSOs), specifically animal waste fat, cottonseed, and crude rice bran. As a result, in this study, (1) Response Surface Methodology (RSM) and GWO were used to model the novel composite biodiesel (NCB) from the CTOs, (2) the efficacy in terms of biodiesel yield (BY), and (3) the commercial viability of the produced NCB were investigated. The 94.2% of yield for NCB was obtained for RSM determined optimal conditions set at the methanol/CTOs molar ratio of 9, catalyst amount of 0.45 wt%, reaction temperature of 50 oC, time of 105 min. A quadratic model was developed to predict the biodiesel yield, with an R2 value of 0.995, indicating high accuracy. Grey wolf optimization technique optimized the biodiesel yield to 98.6%, corresponding to catalyst concentration, methanol to TSO molar ratio, reaction temperature, and time set at 0.53 wt%, 9.32, 60 °C, and 105 min. The predicted biodiesel yield was 99.18%, closely matching the experimental yield of 98.60%. 1 H NMR and FTIR provide insights into biodiesel's composition and chemical structure, ensuring its compliance with quality standards. The high-quality NCB obtained from the optimized condition ensures TSO can be employed for higher-scale production in industries and to run in diesel engines. © 2023 Elsevier B.V.",Analysis of biodiesel; Biodiesel; Mixture of oil; Optimization; Transesterification,Agricultural wastes; Animals; Catalysts; Methanol; Molar ratio; Oilseeds; Optimization; Regulatory compliance; Surface properties; Synthetic fuels; Analyse of biodiesel; Gray wolves; Meta-heuristics algorithms; Mixture of oil; Molar ratio; Optimisations; Optimizers; Reaction temperature; Response-surface methodology; Transesterifications; Biodiesel; biofuel; catalyst; composite; essential oil; methanol; optimization; response surface methodology,"Vision Group on Science and Technology, VGST: 349","This work was supported by The Vision Group of Science and Technology (VGST) grant funded by The Government of Karnataka, India. (GRD No. 349).",,,,,,,,,,"Samuel, O.D.; Department of Mechanical Engineering, Delta State, Nigeria; email: samuel.david@fupre.edu.ng",,Elsevier B.V.,9266690,,ICRDE,,English,Ind. Crops Prod.,Article,Final,,Scopus,2-s2.0-85173881776,,,,,,,
"Aravinda G., Kshatri R., Narendiran S., Darshan D.J., Jijo J.",58796061000;58796508000;58796418600;58796146100;57221835759;,"COVID-Safe Attendance Monitoring System using QR Codes,Geo-location and IOT",2023,AIP Conference Proceedings,2916,1,40002,,,,,10.1063/5.0179488,https://www-scopus-com-bldedu.knimbus.com/inward/record.uri?eid=2-s2.0-85181557991&doi=10.1063%2f5.0179488&partnerID=40&md5=44c7b1565e91e39a6f867fa9e0f89627,"PES University, Bangalore, India","Aravinda, G., PES University, Bangalore, India; Kshatri, R., PES University, Bangalore, India; Narendiran, S., PES University, Bangalore, India; Darshan, D.J., PES University, Bangalore, India; Jijo, J., PES University, Bangalore, India","This paper aims to present a better approach to take the attendance of students in a higher education institution while also maintaining the high standards that are necessary while carrying out the process. The previous approaches to solve this have not been able to ensure that the task of taking attendance is safe for the faculty and the students in light of the recent pandemic. Theproposed system will be able to ensure that the process occurs seamlessly while ensuring that there is no falsification of presenceof individuals. The system will be utilizing emerging technologies such as geolocation and QR codes to ensure that attendance is no longer a hassle. Keeping in mind the recent pandemic, in the scenario that there would be a necessity to perform checks to alsoensure that the studying environment is COVID-safe, a temperature sensor will also be included to ensure that the safety of the faculty and the students. © 2023 American Institute of Physics Inc.. All rights reserved.",,,,,,,,,,,,,,"Aravinda, G.; PES UniversityIndia; email: gourav.aravinda@gmail.com",Singh J.Kaushal R.K.Ali F.El-Sappagh S.Mittal R.,American Institute of Physics Inc.,0094243X,9.78074E+12,,,English,AIP Conf. Proc.,Conference Paper,Final,,Scopus,2-s2.0-85181557991,,,,,,,
"Varghese J., Ramesh S., Sunku S.S., Sreenivasaiah J.",57427852200;58824156900;58796117100;57427643000;,A Comparative Study of Task Scheduling Algorithms and a Proposed Tri-Stage Model for a Federated Cloud Environment,2023,AIP Conference Proceedings,2916,1,50006,,,,,10.1063/5.0177891,https://www-scopus-com-bldedu.knimbus.com/inward/record.uri?eid=2-s2.0-85181557921&doi=10.1063%2f5.0177891&partnerID=40&md5=11bca816a83dcac3d427dae94228b936,"Dept. of Computer Applications, MS Ramaiah Institute of Technology, Affiliated to VTU Belagavi, India; PES University, Bengaluru, India; Dept. of Computer Science & Engineering, PES University, Bengaluru, India","Varghese, J., Dept. of Computer Applications, MS Ramaiah Institute of Technology, Affiliated to VTU Belagavi, India; Ramesh, S., PES University, Bengaluru, India; Sunku, S.S., Dept. of Computer Science & Engineering, PES University, Bengaluru, India; Sreenivasaiah, J., Dept. of Computer Applications, MS Ramaiah Institute of Technology, Affiliated to VTU Belagavi, India","Multiple Cloud Compute providers can be managed together as a Federated Cloud. Such an agglomeration introduces challenges for effective resource allocation and load balancing. To address such issues, multiple papers have been written describing various algorithms for resource allocation. This paper thus compares and contrasts various algorithms proposed. A Federated Cloud environment is usually organized as a many providers having multiple datacenters (DCs), each with multiple hosts, and each host having multiple VMs. We compare the various algorithms on the basis of execution time (time-till-response), latency (time between task scheduling and VM allocation), and load (resource utilization). © 2023 American Institute of Physics Inc.. All rights reserved.",,,,,,,,,,,,,,"Ramesh, S.; PES UniversityIndia; email: samarthr1@outlook.com",Singh J.Kaushal R.K.Ali F.El-Sappagh S.Mittal R.,American Institute of Physics Inc.,0094243X,9.78074E+12,,,English,AIP Conf. Proc.,Conference Paper,Final,,Scopus,2-s2.0-85181557921,,,,,,,
"Banu H., Rao K R.",58355980000;58660252600;,Entanglement-decoherence-Nash equilibria diagrams in quantum games,2023,"Physics Letters, Section A: General, Atomic and Solid State Physics",490,,129171,,,,,10.1016/j.physleta.2023.129171,https://www-scopus-com-bldedu.knimbus.com/inward/record.uri?eid=2-s2.0-85174730810&doi=10.1016%2fj.physleta.2023.129171&partnerID=40&md5=708e66f50db0bb49efabbabd7441f2b1,"Department of Mathematics, PES University, Bangalore, 560085, India; Department of Physics, PES University, Bangalore, 560085, India","Banu, H., Department of Mathematics, PES University, Bangalore, 560085, India; Rao K, R., Department of Physics, PES University, Bangalore, 560085, India","We present the role of the combined effect of entanglement and decoherence on the dynamics of Nash equilibria in quantum games. We show in this paper that the Nash equilibria in quantum games do significantly depend on the noise parameter p and the entanglement parameter γ. A detailed analysis of the dynamics of the Nash equilibria for amplitude damping, depolarising and phase damping noise channels is reported. We report the idea of noise transition thresholds at which the Nash equilibria of a quantum game abruptly change. This paper introduces a new kind of two parameter Entanglement-Decoherence-Nash Equilibria (EDNE) diagrams in quantum games. © 2023 Elsevier B.V.",Decoherence; EDNE diagram; Entanglement; EWL entanglement parameter; Nash equilibria; Quantum games,Damping; Phase equilibria; Decoherence; Entanglement; Entanglement parameters; Entanglement-decoherence-nash equilibrium diagram; Equilibrium diagrams; EWL entanglement parameter; Nash equilibria; Quantum games; Quantum entanglement,,"One of the authors, Hoor Banu thanks PES University for the fellowship for the Ph.D. course.",,,,,,,,,,"Rao K, R.; Department of Physics, India; email: raghavendrarao@pes.edu",,Elsevier B.V.,3759601,,PYLAA,,English,Phys Lett Sect A Gen At Solid State Phys,Article,Final,,Scopus,2-s2.0-85174730810,,,,,,,
